n	repo	path	contents_url
01	layer5io/advanced-istio-service-mesh-workshop	lab-6/identity-verification/jwt-issuer.yaml	https://api.github.com/repositories/301049270/contents/lab-6/identity-verification/jwt-issuer.yaml?ref=40b7a7edb6571bd6d8779b4c13e0f73fe49d75da
02	erkules/k8sworkshop	Istio/requestauthentication.yaml	https://api.github.com/repositories/134983331/contents/Istio/requestauthentication.yaml?ref=0852bdcf4a55aaddad53ce82dfb01053dee6215a
03	3scale-demos/ossm-3scale-wasm	bookinfo/RequestAuthentication_bookinfo-oidc.yaml	https://api.github.com/repositories/450556285/contents/bookinfo/RequestAuthentication_bookinfo-oidc.yaml?ref=b4ce088a08bd915aab8639294efa9cd41ba786be
04	PacktPublishing/Bootstrap-Service-Mesh-Implementations-with-Istio	Chapter12/security/requestAuthentication.yaml	https://api.github.com/repositories/507772444/contents/Chapter12/security/requestAuthentication.yaml?ref=2cbf5d7b127bef77e60b6fa75ef3df6a9469c3c5
05	carlosgit2016/istio-api-gtw	0-authentication/requestauthentication.yaml	https://api.github.com/repositories/855137913/contents/0-authentication/requestauthentication.yaml?ref=30e50c97bd3a9fec6bfa36ef911acc5060252b22
06	apssouza22/service-mesh-istio	13-authentication.yaml	https://api.github.com/repositories/225848003/contents/13-authentication.yaml?ref=6461cde79a898dee7dffac3216b0e03318c48489
07	Adam-Guerin/Asmblr	k8s/istio/asmblr-mesh.yaml	https://api.github.com/repositories/1151787107/contents/k8s/istio/asmblr-mesh.yaml?ref=f70ddffed7cef1b91107a04ceb492797757f27ee
08	x0tta6bl4-ai/x0tta6bl4	ops/infra/mtls/istio/mtls-policies.yaml	https://api.github.com/repositories/1007438902/contents/ops/infra/mtls/istio/mtls-policies.yaml?ref=f77b49308f1085e0003e037f63119e382efd2d66
09	gingeekrishna/Vehical_price_calculation	infrastructure/security/auth-config.yaml	https://api.github.com/repositories/1035155319/contents/infrastructure/security/auth-config.yaml?ref=50ace7c94050dd5bf249093c248af947fe174c05
10	coderbydesign/openshift-gateway-api-tutorial	example-generated/09-authentication-policy.yaml	https://api.github.com/repositories/1098477777/contents/example-generated/09-authentication-policy.yaml?ref=40a996b57e6acd3d4dcae09a3cd5d2508de8ce78
11	PacktPublishing/Kubernetes-An-Enterprise-Guide-Third-Edition	chapter17/write-checks/write_checks.yaml	https://api.github.com/repositories/650449161/contents/chapter17/write-checks/write_checks.yaml?ref=f8ad4b0f361c035173f6632521c20e295baa7822
12	feuyeux/asm-best-practises	jwt_ingress/jwt-example.yaml	https://api.github.com/repositories/274915992/contents/jwt_ingress/jwt-example.yaml?ref=c58522310731e9b2c0e7b5fdb39883f4d4bd2f4b
13	fcul-cn/group02	manifests/2-istio-gateway.yaml	https://api.github.com/repositories/776828375/contents/manifests/2-istio-gateway.yaml?ref=80dcdccfdd30a22af896da3bac9509b85d3de469
